time_s,accX_counts,accY_counts,accZ_counts,comportamento
0.00117140600002585,-15384,860,3956,caminhada
0.0115676040001063,-15204,852,3876,caminhada
0.0218515100000332,-15400,852,3644,caminhada
0.0321040100000118,-15280,832,3704,caminhada
0.042357968000033,-15452,744,3544,caminhada
0.0525748430000022,-15532,700,3500,caminhada
0.0628506770000286,-15480,808,3404,caminhada
0.0731142180000006,-15516,732,3552,caminhada
0.08337838500006,-15268,668,3576,caminhada
0.0936446870000509,-15116,724,3744,caminhada
0.103898541000035,-15128,756,3908,caminhada
0.114154374999998,-15068,728,3900,caminhada
0.124407395000048,-15244,600,3852,caminhada
0.134708593000028,-15248,724,3852,caminhada
0.144967083000097,-15272,620,4040,caminhada
0.155218541000068,-15208,596,4028,caminhada
0.165470156000083,-15260,644,3868,caminhada
0.175723593000043,-15292,572,3928,caminhada
0.185970781000037,-15196,668,3608,caminhada
0.196239635000097,-15232,744,3612,caminhada
0.206503593000093,-15160,832,3420,caminhada
0.216763177000075,-15232,748,3452,caminhada
0.22701526000003,-15380,784,3364,caminhada
0.237274218000039,-15492,776,3300,caminhada
0.247529635000092,-15260,824,3480,caminhada
0.257743854000069,-15424,904,3660,caminhada
0.267955260000008,-15360,768,3852,caminhada
0.278160364000087,-15544,692,3808,caminhada
0.288384010000073,-15420,848,3676,caminhada
0.298593906000065,-15456,948,3932,caminhada
0.308798958000011,-15496,844,3792,caminhada
0.318902343000104,-15416,900,3652,caminhada
0.329141927000023,-15516,1020,3572,caminhada
0.339350677000084,-15504,1044,3816,caminhada
0.34955848900006,-15364,1000,3480,caminhada
0.359762708000062,-15248,1044,3308,caminhada
0.369970572000057,-15308,944,3396,caminhada
0.380176458000051,-15292,804,3300,caminhada
0.390391458000067,-15284,740,3336,caminhada
0.400595572000043,-15056,784,3548,caminhada
0.410803645000101,-15176,764,3596,caminhada
0.421008229000108,-15196,844,3764,caminhada
0.431245625000088,-15164,824,3684,caminhada
0.441527968000059,-15556,808,3880,caminhada
0.451789062000103,-15404,680,3764,caminhada
0.462057083000104,-15504,784,3768,caminhada
0.472310052000012,-15616,844,3896,caminhada
0.482557968000037,-15548,700,3668,caminhada
0.492773802000102,-15372,804,3656,caminhada
0.502978958000085,-15348,732,3612,caminhada
0.513181406000058,-15352,844,3496,caminhada
0.523384322000084,-15412,964,3452,caminhada
0.53362203100005,-15252,840,3352,caminhada
0.543904791000045,-15376,892,3468,caminhada
0.554178645000093,-15228,852,3440,caminhada
0.564434583000093,-15316,832,3516,caminhada
0.574717031000091,-15288,796,3780,caminhada
0.584991354000067,-15256,784,3960,caminhada
0.59524817700003,-15408,808,4168,caminhada
0.605512708000106,-15424,832,3988,caminhada
0.615775624000094,-15372,900,3864,caminhada
0.626026874000104,-15356,824,3756,caminhada
0.636333020000052,-15264,828,3548,caminhada
0.646600416000069,-15276,944,3796,caminhada
0.65685536400008,-15252,960,3892,caminhada
0.667126927000027,-15296,984,3536,caminhada
0.677383802000009,-15356,1084,3460,caminhada
0.687641145000043,-15468,996,3540,caminhada
0.697894322000025,-15476,868,3328,caminhada
0.708160156000076,-15532,888,3428,caminhada
0.718419999000048,-15348,924,3440,caminhada
0.728669947000071,-15260,816,3444,caminhada
0.73896098900002,-15328,972,3692,caminhada
0.749217604000023,-15168,824,3792,caminhada
0.759483020000062,-15352,932,3892,caminhada
0.769749062000074,-15352,844,3976,caminhada
0.780009426000106,-15300,800,3848,caminhada
0.79026916600003,-15404,752,3900,caminhada
0.800530312000092,-15408,688,3604,caminhada
0.810786041000029,-15408,836,3736,caminhada
0.820897395000088,-15388,676,3816,caminhada
0.83115177000002,-15408,836,3668,caminhada
0.84144036400005,-15384,796,3388,caminhada
0.851702604000025,-15352,796,3372,caminhada
0.861966874000018,-15340,824,3268,caminhada
0.872182812000006,-15384,848,3260,caminhada
0.882390260000079,-15380,844,3448,caminhada
0.892612239000073,-15280,904,3496,caminhada
0.90288161400008,-15264,808,3604,caminhada
0.913148437000018,-15300,828,3740,caminhada
0.923406041000021,-15440,844,3940,caminhada
0.933663333000027,-15528,940,3896,caminhada
0.943958749000103,-15420,876,3812,caminhada
0.954213801000037,-15492,824,3612,caminhada
0.964426301000003,-15464,784,3648,caminhada
0.974700051000013,-15524,796,3300,caminhada
0.984909114000061,-15460,844,3476,caminhada
0.995134999000015,-15356,852,3396,caminhada
1.0054002600001,-15320,928,3260,caminhada
1.01566286400009,-15344,940,3164,caminhada
1.0259137490001,-15324,920,3220,caminhada
1.03617734300008,-15408,936,3268,caminhada
1.04646937400003,-15192,952,3640,caminhada
1.05673541600004,-15140,1008,3700,caminhada
1.06700291600009,-15284,1000,3656,caminhada
1.07726885300008,-15360,864,3632,caminhada
1.08752958300011,-15332,712,3700,caminhada
1.09779265600002,-15396,824,3712,caminhada
1.10805828100001,-15464,752,3724,caminhada
1.11832244700008,-15368,812,3648,caminhada
1.12859057200001,-15416,824,3664,caminhada
1.13884760300004,-15400,968,3416,caminhada
1.14909796800009,-15324,920,3636,caminhada
1.1593713530001,-15372,1020,3544,caminhada
1.16964937400007,-15380,1036,3264,caminhada
1.17990937400009,-15440,968,3316,caminhada
1.19016557200007,-15384,944,3048,caminhada
1.200422656,-15416,892,3176,caminhada
1.21067828100001,-15372,900,3208,caminhada
1.22094624900001,-15360,860,3448,caminhada
1.23120208300008,-15312,940,3384,caminhada
1.24145427000008,-15364,960,3624,caminhada
1.251759322,-15436,848,3752,caminhada
1.26202067600002,-15492,932,3824,caminhada
1.27227187400001,-15452,936,3848,caminhada
1.28252395800007,-15388,760,3740,caminhada
1.29276645800007,-15348,796,3652,caminhada
1.30312395800001,-15380,916,3452,caminhada
1.31329223900002,-15348,900,3636,caminhada
1.32338447800009,-15376,936,3308,caminhada
1.33347598900002,-15436,1044,3384,caminhada
1.34356723900009,-15420,1004,3172,caminhada
1.3536945300001,-15572,880,3212,caminhada
1.36378546800006,-15376,868,3384,caminhada
1.37387739500002,-15328,892,3448,caminhada
1.38397088500005,-15256,888,3672,caminhada
1.39406276,-15312,800,3720,caminhada
1.404153124,-15400,920,3732,caminhada
1.41424541600009,-15392,956,3700,caminhada
1.42433666600004,-15472,824,3780,caminhada
1.43442541600007,-15424,856,3648,caminhada
1.44451651000009,-15428,780,3432,caminhada
1.454641874,-15388,924,3416,caminhada
1.46473328000002,-15508,880,3124,caminhada
1.47484942600011,-15476,1016,3168,caminhada
1.48494697800004,-15560,904,3212,caminhada
1.49503651000009,-15408,888,3240,caminhada
1.50512666600002,-15316,812,3268,caminhada
1.51521999900001,-15308,776,3580,caminhada
1.52531036400001,-15332,896,3552,caminhada
1.53540052000005,-15484,800,3604,caminhada
1.54548989500006,-15592,900,3852,caminhada
1.5556153120001,-15420,904,3768,caminhada
1.56570510300003,-15332,888,3484,caminhada
1.57579421800006,-15372,820,3660,caminhada
1.58588354100004,-15348,996,3344,caminhada
1.59597286400003,-15404,936,3140,caminhada
1.60606328000006,-15412,908,3112,caminhada
1.61615692600003,-15268,940,3168,caminhada
1.62625067600004,-15268,1000,3312,caminhada
1.636344947,-15196,908,3680,caminhada
1.64643869700001,-15264,924,3584,caminhada
1.6565645820001,-15496,928,3672,caminhada
1.66665343700004,-15460,876,3700,caminhada
1.67674755100006,-15540,892,3692,caminhada
1.68684083200003,-15484,768,3872,caminhada
1.69693494700005,-15328,828,3800,caminhada
1.70702838400007,-15340,804,3792,caminhada
1.71712265500003,-15148,832,3420,caminhada
1.7272129160001,-15248,784,3212,caminhada
1.73730348900006,-15288,952,3212,caminhada
1.74740218700003,-15244,852,3384,caminhada
1.75753275900001,-15308,952,3344,caminhada
1.76762833200007,-15484,904,3520,caminhada
1.77771765500006,-15268,932,3452,caminhada
1.78781161400002,-15360,952,3624,caminhada
1.79790015500009,-15484,908,3824,caminhada
1.80799364500001,-15516,832,3752,caminhada
1.818087343,-15424,812,3920,caminhada
1.82818124900007,-15332,800,3648,caminhada
1.83827088400005,-15356,792,3856,caminhada
1.84836458200004,-15372,752,3560,caminhada
1.858488072,-15380,916,3528,caminhada
1.86858213400001,-15252,844,3408,caminhada
1.87867286400001,-15364,820,3416,caminhada
1.88876765500004,-15276,764,3600,caminhada
1.89886197800001,-15320,864,3460,caminhada
1.90895598900011,-15320,728,3736,caminhada
1.919046718,-15400,796,3768,caminhada
1.92914156100005,-15344,840,4004,caminhada
1.93923213400001,-15472,692,3992,caminhada
1.94932052000001,-15436,820,3776,caminhada
1.95944161400007,-15424,740,3628,caminhada
1.96953062400007,-15348,752,3540,caminhada
1.97962150900003,-15384,880,3508,caminhada
1.98971052000002,-15476,796,3304,caminhada
1.99980041600008,-15372,888,3224,caminhada
2.00988958200003,-15468,872,3288,caminhada
2.019983905,-15460,924,3124,caminhada
2.03007468600003,-15384,852,3312,caminhada
2.04016494700011,-15304,972,3512,caminhada
2.05025890500008,-15276,868,3604,caminhada
2.06038354100008,-15312,936,3736,caminhada
2.07047359300009,-15360,716,3760,caminhada
2.08056385300006,-15448,780,3852,caminhada
2.090654374,-15412,736,3808,caminhada
2.10074562400007,-15420,892,3672,caminhada
2.11083635300008,-15308,724,3540,caminhada
2.12092708200009,-15356,872,3436,caminhada
2.13102380100008,-15348,880,3356,caminhada
2.141115259,-15508,800,3180,caminhada
2.15120619700008,-15372,936,3204,caminhada
2.16132958200001,-15264,896,3420,caminhada
2.17142614500006,-15372,924,3688,caminhada
2.18152114500003,-15448,772,3840,caminhada
2.19161114500002,-15452,752,3680,caminhada
2.20170229100006,-15556,688,3764,caminhada
2.21179270700009,-15652,744,3712,caminhada
2.2218834360001,-15488,676,3744,caminhada
2.23197380100009,-15428,820,3596,caminhada
2.24206505100005,-15252,868,3320,caminhada
2.25215619700009,-15312,952,3376,caminhada
2.26227807200007,-15300,856,3292,caminhada
2.27236927000001,-15368,900,3388,caminhada
2.28246067600003,-15300,792,3224,caminhada
2.2925515610001,-15308,888,3428,caminhada
2.30264119700007,-15168,800,3464,caminhada
2.31273640500001,-15288,736,3636,caminhada
2.32282713400002,-15432,856,3664,caminhada
2.33292239500008,-15472,788,3728,caminhada
2.34301307200008,-15604,732,3696,caminhada
2.35310541500007,-15456,760,3544,caminhada
2.36319802000003,-15500,752,3548,caminhada
2.37329140500003,-15500,700,3776,caminhada
2.38338244700003,-15392,760,3764,caminhada
2.39347385300005,-15512,788,3516,caminhada
2.40356609300011,-15488,728,3408,caminhada
2.413657134,-15420,728,3340,caminhada
2.42374859300003,-15348,736,3496,caminhada
2.43383999900004,-15284,728,3728,caminhada
2.44392973800007,-15236,692,3820,caminhada
2.4540198950001,-15308,620,4028,caminhada
2.46414197800004,-15296,576,3964,caminhada
2.47423411300008,-15340,544,3848,caminhada
2.4843295820001,-15372,484,3848,caminhada
2.49442197800011,-15384,420,3864,caminhada
2.50451406100001,-15412,432,3940,caminhada
2.5146067180001,-15208,560,3640,caminhada
2.52469848800001,-15304,540,3580,caminhada
2.53478921700003,-15220,564,3272,caminhada
2.54487968600006,-15288,492,3364,caminhada
2.55497062400002,-15268,540,3452,caminhada
2.5650961450001,-15220,544,3648,caminhada
2.57518692600002,-15336,552,3692,caminhada
2.58527791500001,-15264,592,3864,caminhada
2.595368592,-15556,464,4020,caminhada
2.60545937400002,-15492,512,3988,caminhada
2.61555010300003,-15440,392,3872,caminhada
2.625639686,-15332,480,3800,caminhada
2.63573036300011,-15180,504,3420,caminhada
2.64582255100004,-15140,644,3404,caminhada
2.65591328000005,-15264,672,3220,caminhada
2.66603416500004,-15244,820,3164,caminhada
2.67612499900008,-15192,796,3172,caminhada
2.68622192600003,-15132,836,3224,caminhada
2.69631874900006,-15364,844,3556,caminhada
2.70640911300006,-15332,792,3496,caminhada
2.716506353,-15416,788,3516,caminhada
2.72659562400008,-15536,960,3424,caminhada
2.7366917170001,-15592,1024,3528,caminhada
2.74678864400005,-15660,1084,3404,caminhada
2.75688572800004,-15652,1120,3300,caminhada
2.76701426900002,-15508,1092,3312,caminhada
2.777110988,-15396,1012,3048,caminhada
2.787206717,-15312,1024,3064,caminhada
2.7973020820001,-15308,1072,2792,caminhada
2.80739114400001,-15336,1184,2908,caminhada
2.81748604000006,-15300,1184,3012,caminhada
2.82758150900008,-15284,1272,3024,caminhada
2.83767640500002,-15204,1184,2948,caminhada
2.84777150900004,-15364,1236,3308,caminhada
2.85786661300006,-15468,1112,3520,caminhada
2.86799192600006,-15536,1136,3488,caminhada
2.87808088400004,-15596,1180,3280,caminhada
2.888176144,-15596,1048,3464,caminhada
2.89826572800007,-15596,1008,3352,caminhada
2.9083558320001,-15436,1172,3220,caminhada
2.91844650900009,-15404,1020,3228,caminhada
2.92853562400001,-15472,1148,3032,caminhada
2.93862864400001,-15388,1248,3000,caminhada
2.94872609200002,-15392,1340,3108,caminhada
2.95881729000007,-15308,1160,3220,caminhada
2.96893708200003,-15248,1112,3284,caminhada
2.97902828000008,-15308,1048,3268,caminhada
2.98911775900001,-15324,960,3304,caminhada
2.99920848800002,-15468,912,3404,caminhada
3.00930432100006,-15472,876,3504,caminhada
3.01939229000004,-15504,1012,3496,caminhada
3.02948609200007,-15440,984,3400,caminhada
3.03957515500008,-15376,1184,3212,caminhada
3.04966994600011,-15556,1276,3104,caminhada
3.05976406100001,-15484,1112,2884,caminhada
3.06985614400003,-15416,1248,2884,caminhada
3.079948124,-15508,1300,3044,caminhada
3.09004562400003,-15536,1216,2808,caminhada
3.10013593600002,-15432,1132,3144,caminhada
3.11022609200006,-15352,1200,3252,caminhada
3.12031713400006,-15352,1180,3200,caminhada
3.13041411300003,-15328,1188,3364,caminhada
3.14051020700003,-15388,1188,3596,caminhada
3.15060150900001,-15560,1144,3664,caminhada
3.16069223800002,-15440,1264,3656,caminhada
3.17081494600006,-15388,1216,3536,caminhada
3.18091057100003,-15448,1184,3276,caminhada
3.19100031100004,-15332,1144,3068,caminhada
3.20109203000004,-15420,1192,3080,caminhada
3.21118801900002,-15428,1112,2776,caminhada
3.22127843600003,-15528,1112,3024,caminhada
3.23136973800001,-15508,1032,3008,caminhada
3.24146130100007,-15376,1052,3176,caminhada
3.2515560920001,-15220,1196,3292,caminhada
3.26164671700008,-15400,1060,3504,caminhada
3.27173906100006,-15464,968,3672,caminhada
3.28183062300002,-15416,872,3592,caminhada
3.29192176900006,-15372,932,3516,caminhada
3.30201234200001,-15416,1004,3348,caminhada
3.31210343600003,-15388,952,3080,caminhada
3.322194373,-15528,896,2996,caminhada
3.33228479000002,-15484,880,2988,caminhada
3.34237557100005,-15568,1016,2820,caminhada
3.35246650900001,-15604,892,2932,caminhada
3.36255708200008,-15672,1080,2908,caminhada
3.372678436,-15488,1104,3020,caminhada
3.38276926900005,-15392,1024,3464,caminhada
3.39286109200009,-15292,920,3444,caminhada
3.40295197800003,-15416,876,3648,caminhada
3.41304489400011,-15428,992,3392,caminhada
3.42313551900008,-15252,868,3288,caminhada
3.43322536300002,-15432,928,3380,caminhada
3.443316665,-15344,1052,3456,caminhada
3.453408384,-15440,1008,3284,caminhada
3.4634993730001,-15356,1124,3160,caminhada
3.47362275900002,-15380,1104,3032,caminhada
3.48371531100008,-15452,1196,3124,caminhada
3.49380614400002,-15432,1272,2988,caminhada
3.50389708200009,-15392,1196,3052,caminhada
3.51398692500004,-15388,1108,3228,caminhada
3.52407801900006,-15264,1024,3212,caminhada
3.53416926900002,-15344,948,3340,caminhada
3.54426104000004,-15400,840,3596,caminhada
3.55435203000002,-15536,936,3588,caminhada
3.5644429670001,-15640,832,3608,caminhada
3.57456630000002,-15616,668,3388,caminhada
3.58465801900002,-15492,748,3276,caminhada
3.594749009,-15464,820,3184,caminhada
3.60483953000005,-15508,840,3288,caminhada
3.6149303630001,-15472,932,3124,caminhada
3.625021457,-15436,896,3128,caminhada
3.63511203000007,-15452,936,3044,caminhada
3.64520369600007,-15244,960,3168,caminhada
3.65529463400003,-15312,856,3244,caminhada
3.665384894,-15432,948,3548,caminhada
3.67550703000006,-15448,868,3624,caminhada
3.68559833200004,-15568,908,3516,caminhada
3.69568900900003,-15568,1020,3536,caminhada
3.70577911300006,-15396,920,3356,caminhada
3.71586885200009,-15508,980,3172,caminhada
3.72596051900007,-15528,900,3188,caminhada
3.73605260200009,-15576,972,2912,caminhada
3.74616781100008,-15472,896,2900,caminhada
3.75626671700002,-15432,848,2888,caminhada
3.76636411300001,-15288,880,3212,caminhada
3.77649213400002,-15316,760,3392,caminhada
3.78658828000005,-15316,852,3228,caminhada
3.79668463400003,-15240,776,3460,caminhada
3.80677973800005,-15320,716,3592,caminhada
3.81687645700004,-15372,640,3692,caminhada
3.82697182100003,-15416,596,3612,caminhada
3.83706614400001,-15360,668,3588,caminhada
3.84716077900009,-15364,716,3492,caminhada
3.85725598800002,-15316,600,3280,caminhada
3.86735109200004,-15492,580,3228,caminhada
3.87747749800008,-15492,740,3028,caminhada
3.8875733320001,-15560,692,3116,caminhada
3.89766781100002,-15492,764,3032,caminhada
3.90775577900001,-15532,872,3240,caminhada
3.91784614400001,-15436,892,3368,caminhada
3.9279344250001,-15384,952,3512,caminhada
3.93802900900005,-15420,872,3504,caminhada
3.94811838400005,-15364,796,3752,caminhada
3.95820869600004,-15328,812,3644,caminhada
3.96829702900004,-15352,848,3596,caminhada
3.97841744600009,-15264,836,3408,caminhada
3.98850687300001,-15272,864,3308,caminhada
3.99859692500002,-15336,924,3084,caminhada
4.0086905710001,-15392,980,3064,caminhada
4.01878572700002,-15484,980,2932,caminhada
4.028879061,-15488,1036,3236,caminhada
4.03896932100008,-15340,972,3312,caminhada
4.04906385200002,-15268,980,3196,caminhada
4.05915781100009,-15332,912,3396,caminhada
4.06925145600007,-15360,856,3668,caminhada
4.07936817500001,-15360,792,3548,caminhada
4.08945843600009,-15428,760,3644,caminhada
4.09955239400006,-15496,792,3536,caminhada
4.10964301900003,-15476,832,3368,caminhada
4.119735988,-15444,864,3368,caminhada
4.12983286300005,-15476,908,3028,caminhada
4.13992885200003,-15436,984,3284,caminhada
4.15002098800005,-15352,972,3124,caminhada
4.16011281100009,-15400,948,3004,caminhada
4.17020812300007,-15484,904,2956,caminhada
4.180336248,-15376,960,2828,caminhada
4.1904275500001,-15488,976,3336,caminhada
4.20051979000004,-15540,1116,3320,caminhada
4.210610675,-15532,1080,3504,caminhada
4.22070249800004,-15532,1132,3540,caminhada
4.23079447700002,-15492,1108,3644,caminhada
4.24088551900002,-15376,956,3504,caminhada
4.2509824980001,-15336,908,3348,caminhada
4.26107343600006,-15180,872,3184,caminhada
4.27116411300005,-15408,936,3112,caminhada
4.28128666500004,-15360,876,3040,caminhada
4.29137744600007,-15496,812,2948,caminhada
4.30147411300004,-15372,976,3132,caminhada
4.31156374800003,-15448,880,3224,caminhada
4.32165520600006,-15396,920,3204,caminhada
4.33175255000003,-15304,916,3564,caminhada
4.34184354000001,-15304,892,3472,caminhada
4.35193442500008,-15344,896,3584,caminhada
4.3620255190001,-15520,872,3576,caminhada
4.3721226020001,-15520,684,3548,caminhada
4.382245936,-15416,764,3436,caminhada
4.39233708100005,-15344,800,3104,caminhada
4.40242869600002,-15400,792,3284,caminhada
4.41252452900005,-15452,992,3104,caminhada
4.422616092,-15676,912,2988,caminhada
4.43270676900011,-15500,948,3208,caminhada
4.44279838300008,-15484,868,3240,caminhada
4.45288937300006,-15464,896,3244,caminhada
4.46298046700008,-15352,820,3520,caminhada
4.47307380000007,-15236,764,3732,caminhada
4.48319807100006,-15304,788,3716,caminhada
4.493290935,-15256,840,3628,caminhada
4.50338218500008,-15248,828,3588,caminhada
4.513474008,-15432,844,3736,caminhada
4.52356473800001,-15376,812,3404,caminhada
4.533660779,-15348,868,3268,caminhada
4.54375208100009,-15452,840,3328,caminhada
4.553843175,-15500,796,3132,caminhada
4.56393374800007,-15472,928,3200,caminhada
4.57402473800005,-15532,912,2852,caminhada
4.584115623,-15488,816,2980,caminhada
4.59420723800008,-15396,888,3160,caminhada
4.60429781000005,-15340,912,3408,caminhada
4.61438895600008,-15172,868,3476,caminhada
4.62448150800003,-15240,736,3732,caminhada
4.63457854000001,-15272,800,3612,caminhada
4.64467182100009,-15400,852,3544,caminhada
4.65476354000009,-15452,880,3476,caminhada
4.66485380000006,-15384,832,3344,caminhada
4.67494531,-15532,884,3352,caminhada
4.68507020600009,-15452,916,3272,caminhada
4.69516077900005,-15484,920,3096,caminhada
4.70525171700001,-15404,812,3120,caminhada
4.71534213300004,-15296,948,3172,caminhada
4.72543249800003,-15384,848,3320,caminhada
4.73552260200006,-15228,932,3544,caminhada
4.74561281000001,-15376,928,3812,caminhada
